Code,County,Size (Km^2),Population (NPHC 2009),Capital,Governor,Deputy Governor,Women Representative,Main Economic Activities
19,Nyeri,2361,693558,Nyeri,Edward Mutahi Kahiga,Caroline Karugu,Rahab Mukami Wachira,"Trade, Manufacturing, Agriculture (Tea, Coffee and Dairy Farming), Tourism and Fishing."
20,Kirinyaga,1205.4,528054,Kerugoya / Kutus,Anne Mumbi Waiguru,Peter Njagi Ndambiri,Purity Wangui Ngirici,"Agriculture- (Tea, Coffee, Rice), Horticulture and Dairy farming."
21,Murang’a,2325.8,942581,Murang’a,Mwangi Wa Iria,James Kamau Maina,Maitu Sabina Wanjiru Chege,"Agriculture-( Coffee, Tea), Livestock Keeping, Apiculture, Trade and Tourism"
22,Kiambu,2449.2,1623282,Kiambu,Ferdinard Ndungu Waititu,James Nyoro Karanja,Gathoni Wamuchomba,"Agriculture-(Coffee, Tea), Trade and Manufacturing Industries."
23,Turkana,71597.8,855399,Lodwar,Josphat Koli Nanok,Peter Lotethiro Emuria,Pauline Akai Lokuruka,"Livestock- (Cattle, Camel, Donkey, Sheep and Goats), Fishing, Irrigation Agriculture, Oil Exploration and Prospecting."
24,West Pokot,8418.2,512690,Kapenguria,John Krop Lonyangapuo,Nicholas Owon Atudonyang,Lilian Cheptoo Tomitom,"Crop Agriculture- (Maize, Finger Millet, Onions, Beans, Coffee and Pyrethrum), Livestock Keeping, Tourism and. Mining- (untapped gold, ruby and limestone)."
25,Samburu,20182.5,223947,Maralal,Moses Kasainie Lenolkulal,Julius Lesseto Lawrence,Maison Leshoomo,"Crop production –( Maize, Beans, Wheat, Millet), Livestock Production (Indigenous Cows, Goats, Donkeys, Camels, Sheep) and  Tourism."
26,Trans-Nzoia,2469.9,818757,Kitale,Patrick Simiyu Khaemba,Stanley Tarus Kenei Kiptoo,Janet Nangabo Wanyama,"Crop farming-(Maize, Tea, Coffee), Horticulture and Livestock Keeping."
27,Uasin Gishu,2955.3,894179,Eldoret,Jackson Kiplagat Mandago,Daniel Kiprotich Kiplagat,Gladys Jepkosgei-Boss Shollei,"Agriculture-(Maize, Wheat and Horticulture). Sport Tourism, Manufacturing Industries and Trade"
28,Elgeyo-Marakwet,3049.7,369998,Iten,Alex Tanui Tolgos,Wisley Rotich Kipyegon,Jane Jepkorir Kiptoo Chebaibai,"Livestock keeping, Small Scale Crop Farming, Mining-(Fluorspar and Oil Prospecting)."
29,Nandi,2884.5,752965,Kapsabet,Stephen Kipyego Sang,Yulita Mitei Chebotip,Tecla Chebet Tum,"Agriculture- (Tea Maize, Sugarcane,  Dairy Farming and Sport Tourism"
30,Baringo,11075.3,555561,Kabarnet,Stanely K Kiptis,Jacob Kurui Chepkwony,Gladwell Jesire Cheruiyot,"Agriculture-(Coffee, Cotton, Maize, Beans), Bee Keeping, Livestock Keeping, Aloe Vera and Tourism."
31,Laikipia,8696.1,399227,Nanyuki,Ndiritu Muriithi,John Mwaniki Mathenge,Catherine Wanjiku Waruguru,"Livestock keeping, Crop farming- (Maize, Carrot, Beans, Sorghum, Potatoes),  and Horticulture."
32,Nakuru,7509.5,1603325,Nakuru,Lee Maiyani Kinyanjui,Erick Kipkoech Korir,Chelule Chepkorir Liza,"Agriculture- (Maize, Cabbage, Tomatoes,  Dairy farming), Tourism, Manufacturing Industries and  Trade"
33,Narok,17921.2,850920,Narok,Samuel Kuntai Ole Tunai,Evalyn Aruasa Chepkirui,Roselinda Soipan Tuya,"Tourism, Livestock Keeping, Gold Mining, Sand Harvesting, Crop farming-(Wheat, Barley, Potatoes), and horticulture."
34,Kajiado,21292.7,687312,Kajiado,Joseph Jama Ole Lenku,Martin Moshisho Martin,Janet Marania Teyiaa,"Agriculture-(Horticulture, Food Crop Farming, Dairy and Beef Farming,  Poultry Farming), Tourism,  Cement Manufacturing and Salt Production (Magadi)"
35,Kericho,2454.5,752396,Kericho,Paul Chepkwony Kiprono,Susan Kikwai Chepkoech,Florence Chepngetich Koskey,"Agriculture-(Tea, Dairy Farming) and Sports Tourism."
36,Bomet,1997.9,730129,Bomet,Joyce Laboso Cherono,Hillary Barchok Kipngeno,Joyce Korir Chepkoech,"Tea & Coffee farming, Horticulture, Cattle Rearing and trade."
37,Kakamega,3033.8,1660651,Kakamega,Wycliffe Ambetsa Oparanya,Philip Museve Kutima,Elsie Busihile Muhanda,"Crop production- (Sugar Cane, Maize, Beans, Cassava), Livestock keeping,  Fish Farming and  Tourism."
38,Vihiga,531.3,554622,Vihiga,Wilber Khasilwa Ottichilo,Patrick Lumumba Saisi,Beatrice Kahai Adagala,"Subsistence Farming, Tea Farming, Horticulture, Livestock Farming, Trade, Cottage Industries, Quarrying & Mining."
39,Bungoma,2206.9,1375063,Bungoma,Wycliffe Wafula Wangamati,Charles Ngome Kibanani,Catherine Nanjala Wambilianga,"Agriculture – Crop Production (Maize, Beans, Finger Millet, Sweet Potatoes, Bananas, Potatoes) and Animal Rearing,"
40,Busia,1628.4,743946,Busia,Sospeters Odeke Ojaamong,Moses Okhoba Mulomi,Florence Mwikali Mutua,"Fishing, Tourism and   Agriculture (both crop and livestock keeping)."
41,Siaya,2496.1,842304,Siaya,Cornel Amoth Rasanga,James Okumbe Ouko,Ombaka Christine Oduor,"Agriculture – (Rice, Cotton, Coffee, Sugarcane, Tobacco, Kales, indigenous greens, Bananas, Sweet Potatoes), Cattle & Poultry Keeping and Fishing"
42,Kisumu,2009.5,968909,Kisumu(City),Peter Anyang’ Nyong’o,Mathew Owili,Rozaah Akinyi Buyu,"Fishing, Agriculture-(Rice, Sugarcane, Maize, Beans, Sweet Potatoes), Industries, Trade, Mining- (Sand Harvesting and Cement) and Tourism."
43,Homa Bay,3154.7,963794,Homa Bay,Cyprian Archelius Awiti,Hamilton Orata Onyango,Gladys Atieno Nyasuna Wanga,"Fishing, crop farming, livestock rearing and trade."
44,Migori,2586.4,917170,Migori,Zakaria Okoth Obado,Nelson Mahanga Mwaita,Pamela Awuor Ochieng,"Crop Production- (Sugarcane, Tobacco, Maize, Millet, Rice) Horticulture, Apiculture and mining"
45,Kisii,1317.9,1152282,Kisii,James Omariba Ongwae,Joash Maangi Gongera,Janet Ongera,"Crop Farming-  (Food & Cash crop), Livestock keeping, Apiculture, Mining- (Soapstone & Granite), Industry and Trade"
46,Nyamira,912.5,598252,Nyamira,John Obiero Nyagarama,Amos Nyaribo Kimwomi,Jerusha Mongina Momanyi,"Crop Farming- (Tea, Sugarcane) and livestock keeping"
47,Nairobi (County),694.9,3138369,Nairobi (City),Mike Sonko Mbuvi,Pending,Esther Muthoni Rosanna Passaris,"Urban Agriculture, Industries &Trade, Fish Farming, Bee Keeping, Tourism & Wild life."
